    6761, 2430, 2517,   87,  60100,  52200,  24040,       0, 60100, 45348
 1006761, 2430, 2515,   85,  60100,  51000,  24040,       0, 60100, 45349
 2006768, 2430, 2512,   82,  60100,  49200,  24040,   -1000, 60100, 45348
 3006748, 2430, 2510,   80,  60100,  48000,  24040,       0, 60100, 45328
 4006756, 2430, 2508,   78,  60100,  46800,  24040,       0, 60100, 45338
 5006765, 2430, 2506,   76,  60100,  45600,  24040,       0, 60100, 45341
 6006741, 2430, 2503,   73,  60100,  43800,  24040,   -1000, 60100, 45322
 7006755, 2430, 2501,   71,  60100,  42600,  24040,       0, 60100, 45319
 8006764, 2430, 2499,   69,  60100,  41400,  24040,       0, 60100, 45328
 9006742, 2430, 2497,   67,  60100,  40200,  24040,       0, 60100, 45308
    6752, 2430, 2495,   65,  60100,  39000,  24040,       0, 60100, 45311
 1006752, 2430, 2492,   62,  60100,  37200,  24040,       0, 60100, 45303
 2006758, 2430, 2490,   60,  60100,  36000,  24040,       0, 60040, 45316
 3006765, 2430, 2488,   58,  60100,  34800,  24040,       0, 58840, 45311
 4006740, 2430, 2486,   56,  60100,  33600,  24040,       0, 57640, 45297
 5006748, 2430, 2484,   54,  60100,  32400,  24040,       0, 56440, 45298
 6006756, 2430, 2482,   52,  60100,  31200,  24040,       0, 55240, 45296
 7006764, 2430, 2480,   50,  60100,  30000,  24040,       0, 54040, 45292
 8006740, 2430, 2478,   48,  60100,  28800,  24040,       0, 52840, 45298
 9006749, 2430, 2476,   46,  60100,  27600,  24040,       0, 51640, 45293
    6757, 2430, 2474,   44,  60100,  26400,  24040,       0, 50440, 45288
 1006756, 2430, 2472,   42,  60100,  25200,  24040,       0, 49240, 45284
 2006761, 2430, 2470,   40,  60100,  24000,  24040,       0, 48040, 45281
 3006768, 2430, 2468,   38,  60100,  22800,  24040,       0, 46840, 45277
 4006742, 2430, 2466,   36,  60100,  21600,  24040,       0, 45640, 45276
 5006749, 2430, 2464,   34,  60100,  20400,  24040,       0, 44440, 42933
 6006756, 2430, 2462,   32,  60100,  19200,  24040,   -1000, 42240, 43298
 7006768, 2430, 2461,   31,  60100,  18600,  24040,       0, 42640, 42166
 8006744, 2430, 2459,   29,  60100,  17400,  24040,       0, 41440, 41021
 9006751, 2430, 2457,   27,  60100,  16200,  24040,       0, 40240, 38902
    6759, 2430, 2456,   26,  60100,  15600,  24040,       0, 39640, 39289
 1006756, 2430, 2454,   24,  60100,  14400,  24040,       0, 38440, 37152
 2006760, 2430, 2453,   23,  60100,  13800,  24040,       0, 37840, 37543
 3006765, 2430, 2452,   22,  60100,  13200,  24040,       0, 37240, 36952
 4006739, 2430, 2450,   20,  60100,  12000,  24040,       0, 36040, 34796
 5006745, 2430, 2449,   19,  60100,  11400,  24040,       0, 35440, 34206
 6006750, 2430, 2448,   18,  60100,  10800,  24040,       0, 34840, 34594
 7006757, 2430, 2447,   17,  60100,  10200,  24040,       0, 34240, 34008
 8006763, 2430, 2446,   16,  60100,   9600,  24040,       0, 33640, 33416
 9006768, 2430, 2445,   15,  60100,   9000,  24040,       0, 33040, 32823
    6742, 2430, 2444,   14,  60100,   8400,  24040,       0, 32440, 32228
 1006738, 2430, 2443,   13,  60100,   7800,  24040,       0, 31840, 31636
 2006741, 2430, 2442,   12,  60100,   7200,  24040,   -1000, 30240, 31636
 3006749, 2430, 2442,   12,  60100,   7200,  24040,       0, 31240, 31048
 4006753, 2430, 2441,   11,  60100,   6600,  24040,       0, 30640, 30450
 5006757, 2430, 2440,   10,  60100,   6000,  24040,       0, 30040, 28862
 6006761, 2430, 2440,   10,  60100,   6000,  24040,       0, 30040, 29851
 7006766, 2430, 2439,    9,  60100,   5400,  24040,       0, 29440, 29259
